ratio_name,valid_count,missing_count,missing_rate,zero_count,zero_rate,mean,median,std,min,max
총자산증가율,20044,2748,0.12056862056862057,1,4.989024146876871e-05,6013.304009469565,4.5291137417,848092.2373196528,-100.0,120070118.05453669
유동자산증가율,19947,2845,0.12482449982449982,3,0.00015039855617386073,5023.554191211408,4.5060960741,705279.1727412314,-100.0,99609196.22292733
매출액증가율,19477,3315,0.14544577044577045,1,5.134260923140114e-05,4113.594257667285,4.4348657738,568373.6158309219,-100.0,79322007.35416384
순이익증가율,19956,2836,0.12442962442962444,1,5.0110242533573865e-05,3687.0311736830677,-16.490390769850002,519238.7965387634,-182633.0489297696,73344456.18654917
영업이익증가율,20056,2736,0.12004212004212005,1,4.9860390905464696e-05,3900.889388104256,-8.58493425295,558962.4281047089,-204343.8723126584,79158612.1441193
매출액순이익률,22106,686,0.030098280098280097,3,0.00013570976205555052,-151.84592508676974,2.6642537218499998,7325.982047611462,-915165.7629316204,7873.0938399567
매출총이익률,20999,1793,0.07866795366795366,0,0.0,19.351067405781905,18.9300677108,354.7198333665805,-36743.7065134621,625.6440519479
자기자본순이익률 (ROE),22717,75,0.003290628290628291,4,0.00017607958797376415,-5.883561223321998,3.8985993163,121.63423023672101,-8725.3772355807,7062.4076985692
매출채권회전율,21952,840,0.036855036855036855,69,0.003143221574344023,49.8688415121345,6.3159257095,1713.1251348702326,0.0,197176.4448214982
재고자산회전율,20266,2526,0.11082836082836083,70,0.0034540609888483176,141.88860364970762,5.4928368464999995,4009.09637118384,-218.8738182734,462993.9484475
총자본회전율,22336,456,0.020007020007020006,175,0.007834885386819484,0.7752464040944618,0.69574541,0.5030619740377325,0.0,5.248211175
유형자산회전율,22060,732,0.032116532116532114,30,0.0013599274705349048,15.200497948019231,2.77249812255,163.15495132609965,-1.1273106999,13005.5805639541
매출원가율,20999,1793,0.07866795366795366,262,0.012476784608790896,80.8730394270502,81.070006654,355.84691424592864,-161.5923580221,36843.7065134621
부채비율,22789,3,0.00013162513162513163,0,0.0,123.75301925508582,67.6458474307,697.3159358423864,-20869.4314387183,84510.2434550625
유동비율,22565,227,0.00995963495963496,0,0.0,10910.060712034343,169.8496728151,346361.18083681655,1.4275815661,25199820.744255744
자기자본비율,22782,10,0.00043875043875043877,0,0.0,58.000463787075454,58.95001508065,25.74916945588047,-925.4043074016,100.0
당좌비율,20876,1916,0.08406458406458406,0,0.0,252.3903934181756,122.76105810605,1121.8260803830547,-112390.3105638826,52469.5438695493
비유동자산장기적합률,13520,9272,0.4068094068094068,100,0.0073964497041420114,28627.422789008375,7.2943825857,3298945.5096631055,-4.5865533564,383586673.3609272
순운전자본비율,22605,187,0.008204633204633204,1,4.4238000442380005e-05,20.86621907617915,19.9416697303,29.8009550874622,-920.1907600526,100.0
차입금의존도,22782,10,0.00043875043875043877,4271,0.1874725660609253,20.72178459659042,15.710456366399999,21.902334332643697,-38.1259047237,444.8280918691
현금비율,22556,236,0.010354510354510354,0,0.0,1335.5189310248309,34.4396184877,44027.422796562845,0.0007975937,4423830.841658342
유형자산,22445,347,0.015224640224640224,11,0.0004900868790376476,1596200772495.1233,44657739554.0,144027381029057.16,-39091444352.0,2.1561686428e+16
무형자산,22209,583,0.02557915057915058,50,0.002251339547030483,609516936491.3412,2783860183.0,76116146557912.8,-6927176387.0,1.1342883293e+16
무형자산상각비,22792,0,0.0,16854,0.7394699894699894,56457315572.486,0.0,8166170265064.524,-15495833824.0,1232814506000000.0
유형자산상각비,22792,0,0.0,16264,0.7135837135837135,34366030737.71652,0.0,2649275903915.43,-7423415216.0,395902678000000.0
감가상각비,22792,0,0.0,16262,0.7134959634959634,90823346310.20253,0.0,10796323838357.896,-22919249040.0,1628717184000000.0
총자본영업이익률,22782,10,0.00043875043875043877,1,4.389430251953297e-05,1.5544313911512728,2.76739479275,11.29228229179092,-241.1186357144,65.6755986709
총자본순이익률,22710,82,0.003597753597753598,4,0.00017613386173491853,-0.7160103859859973,2.035723976,17.849725011019583,-622.3581074994,407.6214314896
유보액/납입자본비율,22520,272,0.011934011934011933,0,0.0,4180.90570220043,899.581054073,93695.83027580517,-16434.9261144041,6352137.576064909
총자본투자효율,22782,10,0.00043875043875043877,28,0.001229040470546923,0.014360759445803704,0.034463531650000004,0.15586189465154066,-4.1611991362,4.0762143149
