ratio_name,label_0_count,label_0_mean,label_0_median,label_1_count,label_1_mean,label_1_median
총자산증가율,19918,6051.356602428529,4.5569654096,126,-2.0257251069539683,-4.7487951181
유동자산증가율,19821,5055.491871318015,4.5553309992,126,-0.5470579399563484,-5.95917564705
매출액증가율,19360,4138.180117069435,4.5075747882999995,117,45.37000103802478,-13.3540344699
순이익증가율,19831,3710.66197110506,-16.4928528416,125,-61.94757572112479,-6.3377912875
영업이익증가율,19930,3923.8212911953547,-8.52862915505,126,273.644716631219,-28.315654262400002
매출액순이익률,21952,-152.21151776968097,2.6897887871,154,-99.7323499226922,-20.60926754895
매출총이익률,20867,19.392002354396148,18.9809445867,132,12.879934279013638,11.998931474900001
자기자본순이익률 (ROE),22555,-5.010025805375167,3.93252064,162,-127.50449549363518,-11.899929907699999
매출채권회전율,21812,49.085837655297496,6.32182192975,140,171.86084240734,5.1717033533
재고자산회전율,20148,141.9308240099323,5.4834461641,118,134.67965604116782,7.4030248542
총자본회전율,22175,0.7766445101601351,0.6970237959,161,0.5826811742416148,0.4137613301
유형자산회전율,21923,15.190047937553937,2.7751632292,137,16.872728454812407,2.0684655298
매출원가율,20867,80.85030298471156,81.0205651359,132,84.46729202008332,87.75494620085
부채비율,22626,122.61980095928325,67.6246060467,163,281.0548423276552,77.366833055
유동비율,22403,10056.92985359738,170.3109641554,162,128889.63245007955,100.03828701975
자기자본비율,22619,58.100239883755584,59.0006286655,163,44.154847033653375,48.326150372
당좌비율,20750,253.02624484294867,123.14517512649999,126,147.67676592578496,77.56146030925
비유동자산장기적합률,13451,28771.305746089853,7.2941330177,69,578.5871991090261,7.5757135615
순운전자본비율,22442,21.039267726998016,20.06835241855,163,-2.9592890322687113,0.0145065953
차입금의존도,22619,20.637901555427227,15.6722431627,163,32.36197176266564,22.3676065251
현금비율,22394,1309.2737748183495,34.6445324694,162,4963.506758728198,10.2526516908
유형자산,22306,1605461282937.609,44964647408.0,139,110122024796.65468,17152969835.0
무형자산,22077,613024169739.9556,2793348551.0,132,22932175660.575756,1867279178.0
무형자산상각비,22628,56865863106.47335,0.0,164,87720456.23170732,0.0
유형자산상각비,22628,34608276461.91046,0.0,164,942029231.25,0.0
감가상각비,22628,91474139568.38382,0.0,164,1029749687.4817073,0.0
총자본영업이익률,22619,1.6190187503350502,2.7836347064,163,-7.408154359633128,-2.922103706
총자본순이익률,22548,-0.5294999498598146,2.0561811919500004,162,-26.675499977178394,-10.283177826500001
유보액/납입자본비율,22367,4205.761356624101,905.3132541091,153,547.268953871947,62.8738027594
총자본투자효율,22619,0.015974780120336884,0.0346449173,163,-0.20961183955582818,-0.0558995951
